Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2018-06-29 10:40:33;"Trening 1";"Overhead Press (Barbell)";2;30;kg;6;;;;0;;;1h 22m
2018-06-29 10:40:33;"Trening 1";"Overhead Press (Barbell)";3;27,5;kg;8;;;;0;;;1h 22m
2018-06-29 10:40:33;"Trening 1";"Overhead Press (Barbell)";4;25;kg;8;;;;0;;;1h 22m
2018-06-29 10:40:33;"Trening 1";"Squat (Barbell)";1;25;kg;5;;;;0;"";;1h 22m
2018-06-29 10:40:33;"Trening 1";"Squat (Barbell)";2;22,5;kg;6;;;;0;;;1h 22m
2018-06-29 10:40:33;"Trening 1";"Squat (Barbell)";3;20;kg;8;;;;0;;;1h 22m
2018-06-29 10:40:33;"Trening 1";"Squat (Barbell)";4;20;kg;8;;;;0;;;1h 22m
2018-06-29 10:40:33;"Trening 1";"Front Raise (Dumbbell)";1;7,5;kg;10;;;;0;"";;1h 22m
2018-06-29 10:40:33;"Trening 1";"Front Raise (Dumbbell)";2;7,5;kg;6;;;;0;;;1h 22m
2018-06-29 10:40:33;"Trening 1";"Triceps Dip";1;0;kg;12;;;;0;"Pierwsza seria troche technicznie slaba wg mnie, 2 i 3 konkretnie na triceps";;1h 22m
2018-06-29 10:40:33;"Trening 1";"Triceps Dip";2;0;kg;12;;;;0;;;1h 22m
2018-06-29 10:40:33;"Trening 1";"Triceps Dip";3;0;kg;12;;;;0;;;1h 22m
2018-06-29 10:40:33;"Trening 1";"Plank";1;;;;;;km;65;"";;1h 22m
2018-06-29 10:40:33;"Trening 1";"Plank";2;;;;;;km;65;;;1h 22m
2018-06-29 10:40:33;"Trening 1";"Plank";3;;;;;;km;80;;;1h 22m
2018-06-29 10:40:33;"Trening 1";"Hanging Knee Raise";1;;;13;;;;0;"";;1h 22m
2018-06-29 10:40:33;"Trening 1";"Hanging Knee Raise";2;;;13;;;;0;;;1h 22m
2018-06-29 10:40:33;"Trening 1";"Hanging Knee Raise";3;;;13;;;;0;;;1h 22m
2018-07-02 10:03:18;"Trening 2";"Deadlift (Barbell)";1;45;kg;5;;;;0;"";"";1h 18m
2018-07-02 10:03:18;"Trening 2";"Deadlift (Barbell)";2;45;kg;6;;;;0;;;1h 18m
2018-07-02 10:03:18;"Trening 2";"Deadlift (Barbell)";3;40;kg;8;;;;0;;;1h 18m
2018-07-02 10:03:18;"Trening 2";"Deadlift (Barbell)";4;40;kg;8;;;;0;;;1h 18m
2018-07-02 10:03:18;"Trening 2";"Bent Over Row (Barbell)";1;40;kg;5;;;;0;"";;1h 18m
2018-07-02 10:03:18;"Trening 2";"Bent Over Row (Barbell)";2;40;kg;6;;;;0;;;1h 18m
2018-07-02 10:03:18;"Trening 2";"Bent Over Row (Barbell)";3;35;kg;8;;;;0;;;1h 18m
2018-07-02 10:03:18;"Trening 2";"Bent Over Row (Barbell)";4;35;kg;8;;;;0;;;1h 18m
2018-07-02 10:03:18;"Trening 2";"Pull Up";1;0;kg;8;;;;0;"1. lekka pomoc nogami przy 8 
2. lekka
3. lekka 
4. przy ostatnim mocno nogami";;1h 18m
2018-07-02 10:03:18;"Trening 2";"Pull Up";2;0;kg;6;;;;0;;;1h 18m
2018-07-02 10:03:18;"Trening 2";"Pull Up";3;0;kg;4;;;;0;;;1h 18m
2018-07-02 10:03:18;"Trening 2";"Pull Up";4;0;kg;4;;;;0;;;1h 18m
2018-07-02 10:03:18;"Trening 2";"Bench Press (Dumbbell)";1;15;kg;10;;;;0;"";;1h 18m
2018-07-02 10:03:18;"Trening 2";"Bench Press (Dumbbell)";2;15;kg;10;;;;0;;;1h 18m
2018-07-02 10:03:18;"Trening 2";"Bench Press (Dumbbell)";3;15;kg;10;;;;0;;;1h 18m
2018-07-02 10:03:18;"Trening 2";"Bicep Curl (Dumbbell)";1;7,5;kg;12;;;;0;"ostatnie w chuj ciezko i juz lekkie kolysanie tulowiem";;1h 18m
